Transaktionsexport;;;;;;2026-09-05 14:43:46
2026-08-26;2026-08-27;COLLAGE;GOTEBORG;SEK;0.0;940.5
2026-08-26;2026-08-27;COOP AVENYN;GOTEBORG;SEK;0.0;1035.05
2026-08-26;2026-08-26;EASYPARK;EASYPARK.SE;SEK;0.0;57.5
2026-08-26;2026-08-27;KAPPAHL GOETEBORG AVEN;GOETEBORG;SEK;0.0;184.3
2026-08-26;2026-08-27;KAPPAHL GOETEBORG AVEN;GOETEBORG;SEK;0.0;358.0
2026-08-26;2026-08-27;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;1012.9
2026-08-26;2026-08-27;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;426.18
2026-08-25;2026-08-26;FOODORA AB;STOCKHOLM;SEK;0.0;228.0
2026-08-24;2026-08-25;7-ELEVEN KUNGSPORTSAVE;GOETEBORG;SEK;0.0;112.0
2026-08-24;2026-08-25;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;277.3
2026-08-23;2026-08-24;FOODORA AB;STOCKHOLM;SEK;0.0;383.0
2026-08-23;2026-08-24;MCSNACKSCANDINAVIUM;GOTEBORG;SEK;0.0;35.0
2026-08-23;2026-08-24;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;306.56
2026-08-22;2026-08-23;APOTEK HJARTAT ICA MAX;MELLBYSTRAND;SEK;0.0;35.0
2026-08-22;2026-08-23;NORRVIKEN;BASTAD;SEK;0.0;525.0
2026-08-22;2026-08-23;PARKSTER SWE;LUND;SEK;0.0;48.0
2026-08-22;2026-08-23;WEIQ X CHOCOLATERIAN B;MALMOE;SEK;0.0;359.0
2026-08-21;2026-08-22;AHLENS GOETEBORG KUNGS;GOETEBORG;SEK;0.0;39.0
2026-08-21;2026-08-22;APOHEM.SE;STOCKHOLM;SEK;0.0;735.0
2026-08-21;2026-08-22;BLOCKET AB;STOCKHOLM;SEK;0.0;859.0
2026-08-21;2026-08-22;GOTEBORG CITY MAT &;GOTEBORG;SEK;0.0;155.0
2026-08-21;2026-08-22;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;310.13
2026-08-20;2026-08-21;PUTA MADRE;GOTEBORG;SEK;0.0;489.5
2026-08-19;2026-08-20;ESPRESSO HOUSE 236;GOETEBORG;SEK;0.0;56.0
2026-08-19;2026-08-20;FOODORA AB;STOCKHOLM;SEK;0.0;471.0
2026-08-18;2026-08-18;SPOTIFY P45CB1FB17;STOCKHOLM;SEK;0.0;129.0
2026-08-18;2026-08-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;28.0
2026-08-18;2026-08-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;139.13
2026-08-18;2026-08-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;328.57
2026-08-17;2026-08-18;7-ELEVEN KORSETTEN;GOETEBORG;SEK;0.0;29.0
2026-08-17;2026-08-18;HARMONI DUMPLINGS ECOM;GOTEBORG;SEK;0.0;175.0
2026-08-17;2026-08-18;LIVLY;GOTEBORG;SEK;0.0;684.0
2026-08-16;2026-08-17;LITEN KARIN HB;GOTEBORG;SEK;0.0;125.0
2026-08-16;2026-08-16;NETFLIX.COM;LOS GATOS;SEK;0.0;219.0
2026-08-16;2026-08-17;PINCH PANTRY AB;GOTEBORG;SEK;0.0;152.0
2026-08-16;2026-08-17;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;559.86
2026-08-15;2026-08-16;MAXI ICA STORMARKNAD M;MELLBYSTRAND;SEK;0.0;126.56
2026-08-15;2026-08-15;PODME 4EE-B35693A406B1;STOCKHOLM;SEK;0.0;99.0
2026-08-14;2026-08-15;APOTEK HJARTAT ICA MAX;MELLBYSTRAND;SEK;0.0;561.4
2026-08-14;2026-08-15;CIRCLE K VARBERG NORD;VARBERG;SEK;0.0;79.0
2026-08-14;2026-08-15;W*MMSPORTS.SE;ASKIM;SEK;0.0;1299.0
2026-08-13;2026-08-14;BONNIER NEWS;STOCKHOLM;SEK;0.0;39.0
2026-08-13;2026-08-14;GOTEBORG CITY MAT &;GOTEBORG;SEK;0.0;196.0
2026-08-13;2026-08-14;LINDEX GOTEBORG;GOTEBORG;SEK;0.0;587.0
2026-08-13;2026-08-14;SANDVIKS FÖRLAG;MALMO;SEK;0.0;79.0
2026-08-13;2026-08-14;STADIUM FREDSGA;GOTEBORG;SEK;0.0;382.8
2026-08-12;2026-08-12;APPLE.COM/BILL;CORK;SEK;0.0;89.0
2026-08-10;2026-08-11;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;64.0
2026-08-10;2026-08-11;AHLENS GOETEBORG KUNGS;GOETEBORG;SEK;0.0;54.0
2026-08-10;2026-08-11;AHLENS GOETEBORG KUNGS;GOETEBORG;SEK;0.0;1357.25
2026-08-10;2026-08-11;PIADA MIA;GOTEBORG;SEK;0.0;95.0
2026-08-10;2026-08-11;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;82.6
2026-08-09;2026-08-10;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;107.93
2026-08-09;2026-08-10;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;139.13
2026-08-08;2026-08-09;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;117.38
2026-08-08;2026-08-09;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;173.29
2026-08-08;2026-08-09;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;285.92
2026-08-07;2026-08-08;GOTEBORG CITY MAT &;GOTEBORG;SEK;0.0;145.0
2026-08-07;2026-08-08;NK BEAUTY GBG;GA.TEBORG;SEK;0.0;915.0
2026-08-07;2026-08-08;NK KIDS & TEENS GBG;GA.TEBORG;SEK;0.0;378.0
2026-08-07;2026-08-08;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;135.38
2026-08-07;2026-08-08;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;284.91
2026-08-06;2026-08-07;CPH.DK;KASTRUP;DKK;1369.0;2065.54
2026-08-05;2026-08-06;SNUSBOLAGET.SE;HANINGE;SEK;0.0;1079.7
2026-08-03;2026-08-04;APOTEKET HALLARNA HALM;HALMSTAD;SEK;0.0;59.8
2026-08-03;2026-08-04;BAGERI SAF;FALKENBERG;SEK;0.0;252.0
2026-08-03;2026-08-04;LINDEX HALMSTAD;HALMSTAD;SEK;0.0;991.0
2026-08-02;2026-08-03;7-ELEVEN VAESTRA HAMNG;GOETEBORG;SEK;0.0;64.0
2026-08-02;2026-08-03;AHLENS GOETEBORG KUNGS;GOETEBORG;SEK;0.0;117.5
2026-08-02;2026-08-03;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;109.0
2026-08-02;2026-08-03;LEKIA KUNGSGATAN;GOTEBORG;SEK;0.0;340.8
2026-08-02;2026-08-03;LEXINGTON HOME GOT;GOTEBORG;SEK;0.0;245.0
2026-08-02;2026-08-03;LEXINGTON HOME GOT;GOTEBORG;SEK;0.0;295.0
2026-08-02;2026-08-03;NK KOK & DESIGN GBG;GA.TEBORG;SEK;0.0;750.0
2026-08-02;2026-08-03;VACKER NK GÖTEB;GOTEBORG;SEK;0.0;39.5
2026-08-01;2026-08-02;BILIA;SOLNA;SEK;0.0;189.0
2026-07-31;2026-08-01;NATURALCYCLES;STOCKHOLM;SEK;0.0;1189.0
2026-07-31;2026-08-01;SARO BLOMSTERMALA REST;SARO;SEK;0.0;1148.7
2026-07-30;2026-07-31;ICA FOCUS;GOTEBORG;SEK;0.0;1021.12
2026-07-30;2026-07-31;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;20.0
2026-07-30;2026-07-31;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;32.0
2026-07-30;2026-07-31;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;1256.4
2026-07-30;2026-07-31;TV4 AKTIEBOLAG;STOCKHOLM;SEK;0.0;399.0
2026-07-30;2026-07-31;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;197.66
2026-07-29;2026-07-30;7-ELEVEN VAESTRA HAMNG;GOETEBORG;SEK;0.0;29.0
2026-07-29;2026-07-30;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;642.9
2026-07-28;2026-07-29;BEETS SALADS BAR;GOTEBORG;SEK;0.0;339.0
2026-07-28;2026-07-29;FOODORA AB;STOCKHOLM;SEK;0.0;753.0
2026-07-28;2026-07-29;HELP.HBOMAX.COM;STOCKHOLM;SEK;0.0;74.5
2026-07-28;2026-07-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;152.24
2026-07-27;2026-07-27;7-ELEVEN VAESTRA HAMNG;GOETEBORG;SEK;0.0;29.0
2026-07-27;2026-07-28;AKADEMIBOKHANDE;GÖTEBORG;SEK;0.0;357.0
2026-07-27;2026-07-27;APOTEKHJARTAT.SE;SOLNA;SEK;0.0;328.0
2026-07-27;2026-07-27;DISCOVERCARS;RIGA;EUR;557.82;6337.72
2026-07-26;2026-07-26;APPLE.COM/BILL;CORK;SEK;0.0;249.0
2026-07-26;2026-07-27;GOTEBORG CITY MAT &;GOTEBORG;SEK;0.0;128.0
2026-07-26;2026-07-27;NK MAN GBG;GA.TEBORG;SEK;0.0;2350.0
2026-07-25;2026-07-26;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;392.24
2026-07-24;2026-07-26;JINX DYNASTY;GOTEBORG;SEK;0.0;320.0
2026-07-24;2026-07-25;LINDEX GOTEBORG;GOTEBORG;SEK;0.0;862.0
2026-07-24;2026-07-25;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;79.2
2026-07-24;2026-07-25;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;192.82
2026-07-23;2026-07-24;AKADEMIBOKHANDE;GÖTEBORG;SEK;0.0;530.8
2026-07-23;2026-07-24;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;611.6
2026-07-23;2026-07-24;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;140.04
2026-07-22;2026-07-23;FOODORA AB;STOCKHOLM;SEK;0.0;529.0
2026-07-22;2026-07-23;S O LARSSON;GOTEBORG;SEK;0.0;64.0
2026-07-22;2026-07-23;TILAKO STUDIO;GOETEBORG;SEK;0.0;950.0
2026-07-22;2026-07-23;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;422.73
2026-07-22;2026-07-23;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;502.64
2026-07-21;2026-07-22;AKBAR YEGANEH MIRZA AL;MOLNDAL;SEK;0.0;120.0
2026-07-21;2026-07-22;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;24.0
2026-07-21;2026-07-22;POLISEN 1400 GO;GOTEBORG;SEK;0.0;1000.0
2026-07-21;2026-07-22;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;234.16
2026-07-20;2026-07-21;7-ELEVEN VAESTRA HAMNG;GOETEBORG;SEK;0.0;29.0
2026-07-20;2026-07-21;COOP GASTORP;LINDOME;SEK;0.0;53.9
2026-07-20;2026-07-21;WILLYS KALLERED EKEN;KALLERED;SEK;0.0;130.5
2026-07-19;2026-07-20;AVARDA*JOLLYROOM;G TEBORG;SEK;0.0;2703.0
2026-07-19;2026-07-20;BOKADIREKT I STOCKHOLM;STOCKHOLM;SEK;0.0;1800.0
2026-07-18;2026-07-19;GOTEBORG CITY MAT &;GOTEBORG;SEK;0.0;44.0
2026-07-18;2026-07-19;KICKS 814 KUNGSG, GO;GOTEBORG;SEK;0.0;424.15
2026-07-18;2026-07-18;SPOTIFY P44B4D45C4;STOCKHOLM;SEK;0.0;129.0
2026-07-18;2026-07-19;VACKER NK GÖTEB;GOTEBORG;SEK;0.0;479.0
2026-07-18;2026-07-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;163.45
2026-07-18;2026-07-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;233.82
2026-07-18;2026-07-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;419.11
2026-07-17;2026-07-18;HUMLEGARDEN;STYRSO;SEK;0.0;757.0
2026-07-17;2026-07-18;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;75.0
2026-07-17;2026-07-18;STYRSO BIERGARTEN AB;STYRSO;SEK;0.0;38.0
2026-07-17;2026-07-18;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;76.0
2026-07-17;2026-07-18;ZETTLE_*CAFEBATARNA AB;STYRSO;SEK;0.0;20.0
2026-07-16;2026-07-16;NETFLIX.COM;LOS GATOS;SEK;0.0;219.0
2026-07-16;2026-07-17;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;17.0
2026-07-15;2026-07-16;MAXI ICA STORMARKNAD G;GOTEBORG;SEK;0.0;20.0
2026-07-15;2026-07-16;MAXI ICA STORMARKNAD G;GOTEBORG;SEK;0.0;45.0
2026-07-15;2026-07-16;MAXI ICA STORMARKNAD G;GOTEBORG;SEK;0.0;46.36
2026-07-15;2026-07-16;MAXI ICA STORMARKNAD G;GOTEBORG;SEK;0.0;1479.0
2026-07-15;2026-07-16;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;21.0
2026-07-15;2026-07-15;PODME 4EE-B35693A406B1;STOCKHOLM;SEK;0.0;99.0
2026-07-14;2026-07-15;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;40.0
2026-07-14;2026-07-15;APOTEKET KUNGSGATAN;GOETEBORG;SEK;0.0;39.0
2026-07-14;2026-07-16;CAFE IMPERIET;GOTEBORG;SEK;0.0;372.75
2026-07-14;2026-07-15;LITEN KARIN HB;GOTEBORG;SEK;0.0;295.0
2026-07-14;2026-07-16;SODRA LIDEN;GOTEBORG;SEK;0.0;673.05
2026-07-13;2026-07-14;BONNIER NEWS;STOCKHOLM;SEK;0.0;39.0
2026-07-13;2026-07-14;LIDL329GBGKUNGSGATAN;STOCKHOLM;SEK;0.0;102.51
2026-07-12;2026-07-12;APPLE.COM/BILL;CORK;SEK;0.0;89.0
2026-07-12;2026-07-13;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;23.9
2026-07-12;2026-07-13;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;154.8
2026-07-11;2026-07-12;CLAS OHLSON;HALMSTAD;SEK;0.0;1698.0
2026-07-11;2026-07-12;GELATERIAN GOTEBORG;GOTEBORG;SEK;0.0;158.0
2026-07-11;2026-07-12;HEMMAKVÄLL HALM;HALMSTAD;SEK;0.0;34.9
2026-07-11;2026-07-15;OKQ8;TVÅÅKER;SEK;0.0;438.82
2026-07-10;2026-07-11;APOTEK HJARTAT ICA MAX;MELLBYSTRAND;SEK;0.0;62.0
2026-07-10;2026-07-11;APOTEK HJARTAT ICA MAX;MELLBYSTRAND;SEK;0.0;226.8
2026-07-10;2026-07-11;MAXI ICA STORMARKNAD M;MELLBYSTRAND;SEK;0.0;43.9
2026-07-10;2026-07-11;MAXI ICA STORMARKNAD M;MELLBYSTRAND;SEK;0.0;342.4
2026-07-09;2026-07-10;LYA NAILS & SPA;GOTEBORG;SEK;0.0;450.0
2026-07-09;2026-07-10;ORVELIN E-HANDEL AB;STROMSTAD;SEK;0.0;298.0
2026-07-09;2026-07-09;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;452.0
2026-07-08;2026-07-09;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;53.0
2026-07-08;2026-07-09;AHLSTROMS KONDITORI;GOTEBORG;SEK;0.0;254.0
2026-07-08;2026-07-09;KJELLCO KUNGSG GBG;GOTEBORG;SEK;0.0;149.9
2026-07-08;2026-07-09;LINDEX GOTEBORG;GOTEBORG;SEK;0.0;404.0
2026-07-08;2026-07-09;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;302.62
2026-07-07;2026-07-08;SE0234;GOETEBORG;SEK;0.0;149.0
2026-07-07;2026-07-09;W*MMSPORTS.SE;ASKIM;SEK;0.0;1476.0
2026-07-06;2026-07-07;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;230.01
2026-07-06;2026-07-07;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;428.78
2026-07-05;2026-07-06;GELATERIAN GOTEBORG;GOTEBORG;SEK;0.0;158.0
2026-07-05;2026-07-06;SAS  1172548653232;STOCKHOLM;SEK;0.0;655.0
2026-07-05;2026-07-06;SAS  1172548653233;STOCKHOLM;SEK;0.0;655.0
2026-07-05;2026-07-06;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;153.95
2026-07-05;2026-07-06;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;227.44
2026-07-04;2026-07-05;MAXI ICA STORMARKNAD M;MELLBYSTRAND;SEK;0.0;71.77
2026-07-03;2026-07-04;SNUSBOLAGET.SE;HANINGE;SEK;0.0;1124.7
2026-07-02;2026-07-03;APOTEK HJARTAT ICA MAX;MELLBYSTRAND;SEK;0.0;59.0
2026-07-02;2026-07-03;MAXI ICA STORMARKNAD M;MELLBYSTRAND;SEK;0.0;497.65
2026-07-01;2026-07-02;BILIA;SOLNA;SEK;0.0;189.0
2026-07-01;2026-07-02;KASSA NK;GOETEBORG;SEK;0.0;81.0
2026-07-01;2026-07-02;NK DESIGNERS GALLERY G;GA.TEBORG;SEK;0.0;1079.0
2026-07-01;2026-07-02;NK KIDS & TEENS GBG;GA.TEBORG;SEK;0.0;280.0
2026-06-30;2026-07-01;TV4 AKTIEBOLAG;STOCKHOLM;SEK;0.0;399.0
2026-06-30;2026-07-01;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;35.19
2026-06-29;2026-06-30;BOKADIREKT - BOKNING;STOCKHOLM;SEK;0.0;389.0
2026-06-29;2026-06-29;BOOKBEAT D9D4359F5B9E;STOCKHOLM;SEK;0.0;99.0
2026-06-29;2026-06-30;ELGIGANTEN SISJOEN;GOETEBORG;SEK;0.0;69.0
2026-06-29;2026-06-30;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;408.92
2026-06-28;2026-06-29;HELP.HBOMAX.COM;STOCKHOLM;SEK;0.0;74.5
2026-06-28;2026-06-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;304.33
2026-06-28;2026-06-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;345.98
2026-06-27;2026-06-28;BABYSAM SISJÖN;ASKIM;SEK;0.0;1811.95
2026-06-27;2026-06-27;EASYPARK;EASYPARK.SE;SEK;0.0;32.02
2026-06-27;2026-06-28;MCDGBGFROLUNDAMCDRIVE;VASTRAFROLUND;SEK;0.0;178.0
2026-06-27;2026-06-28;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;103.22
2026-06-26;2026-06-26;EASYPARK;EASYPARK.SE;SEK;0.0;21.82
2026-06-26;2026-06-27;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;233.25
2026-06-26;2026-06-27;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;258.66
2026-06-25;2026-06-26;7-ELEVEN VAESTRA HAMNG;GOETEBORG;SEK;0.0;27.0
2026-06-25;2026-06-26;SE0234;GOETEBORG;SEK;0.0;331.0
2026-06-25;2026-06-25;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;740.1
2026-06-24;2026-06-25;ESPRESSO HOUSE 236;GOETEBORG;SEK;0.0;56.0
2026-06-24;2026-06-25;S O LARSSON;GOTEBORG;SEK;0.0;99.0
2026-06-23;2026-06-24;FOODORA AB;STOCKHOLM;SEK;0.0;184.0
2026-06-23;2026-06-24;FOODORA AB;STOCKHOLM;SEK;0.0;286.0
2026-06-23;2026-06-24;KOPPS;GOTEBORG;SEK;0.0;75.0
2026-06-23;2026-06-24;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;445.84
2026-06-23;2026-06-24;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;457.42
2026-06-22;2026-06-23;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;109.25
2026-06-22;2026-06-23;S O LARSSON;GOTEBORG;SEK;0.0;99.0
2026-06-21;2026-06-22;FESKEKORKA;GOTEBORG;SEK;0.0;214.0
2026-06-20;2026-06-21;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;186.0
2026-06-20;2026-06-20;EASYPARK;EASYPARK.SE;SEK;0.0;52.25
2026-06-20;2026-06-21;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;328.18
2026-06-19;2026-06-19;NORTIC.SE;KARLSKRONA;SEK;0.0;160.0
2026-06-19;2026-06-20;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;357.87
2026-06-18;2026-06-19;AL BANCO PASTA;GOTEBORG;SEK;0.0;408.0
2026-06-18;2026-06-18;APOTEKET KUNGSGATAN;GOETEBORG;SEK;0.0;129.0
2026-06-18;2026-06-19;LIDL329GBGKUNGSGATAN;GOTERBORG;SEK;0.0;19.9
2026-06-18;2026-06-18;SPOTIFY P43A5B100D;STOCKHOLM;SEK;0.0;129.0
2026-06-18;2026-06-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;85.94
2026-06-18;2026-06-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;148.27
2026-06-17;2026-06-18;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;109.0
2026-06-17;2026-06-18;APOTEKET KUNGSGATAN;GOETEBORG;SEK;0.0;236.25
2026-06-17;2026-06-18;FOODORA AB;STOCKHOLM;SEK;0.0;423.0
2026-06-17;2026-06-19;JINX DYNASTY;GOTEBORG;SEK;0.0;135.0
2026-06-16;2026-06-17;BEETS SALADS BAR;GOTEBORG;SEK;0.0;184.0
2026-06-16;2026-06-17;GELATERIAN GOTEBORG;GOTEBORG;SEK;0.0;166.0
2026-06-16;2026-06-17;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;416.4
2026-06-16;2026-06-17;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;646.45
2026-06-15;2026-06-16;NETFLIX.COM;AMSTERDAM;SEK;0.0;219.0
2026-06-13;2026-06-14;APOTEK HJARTAT ICA MAX;MELLBYSTRAND;SEK;0.0;512.0
2026-06-13;2026-06-14;BONNIER NEWS;STOCKHOLM;SEK;0.0;39.0
2026-06-13;2026-06-14;MAXI ICA STORMARKNAD M;MELLBYSTRAND;SEK;0.0;138.9
2026-06-13;2026-06-14;ROGER NILSSON STAVERSH;VAXTORP;SEK;0.0;70.0
2026-06-12;2026-06-12;APOTEKET KUNGSGATAN;GOETEBORG;SEK;0.0;36.0
2026-06-12;2026-06-12;APPLE.COM/BILL;CORK;SEK;0.0;89.0
2026-06-12;2026-06-13;MART MATTSSON OCH CO;GOTEBORG;SEK;0.0;400.0
2026-06-12;2026-06-13;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;214.21
2026-06-11;2026-06-12;BEETS SALADS BAR;GOTEBORG;SEK;0.0;519.0
2026-06-10;2026-06-11;APOTEK HJARTAT AVENYN;GOTEBORG;SEK;0.0;49.9
2026-06-10;2026-06-11;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;273.03
2026-06-10;2026-06-11;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;220.48
2026-06-09;2026-06-10;CLARION HOTEL DRAKEN;GOETEBORG;SEK;0.0;1023.75
2026-06-09;2026-06-10;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;194.52
2026-06-08;2026-06-09;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;33.0
2026-06-08;2026-06-09;AIMN SPORTSWEAR;GOETEBORG;SEK;0.0;1671.25
2026-06-08;2026-06-09;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;79.0
2026-06-08;2026-06-09;BABYSAM.SE;KUNGENS KURVA;SEK;0.0;2432.15
2026-06-08;2026-06-09;HEMTEX KUNGSGAT;GOTEBORG;SEK;0.0;299.7
2026-06-07;2026-06-07;AMAZON PRIME;LUXEMBOURG;SEK;0.0;-69.0
2026-06-07;2026-06-08;AVARDA*JOLLYROOM;G TEBORG;SEK;0.0;598.0
2026-06-07;2026-06-08;AVARDA*MED24;L KKEN;SEK;0.0;348.0
2026-06-07;2026-06-08;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;215.32
2026-06-07;2026-06-08;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;648.67
